// <id, capacity (cpu, memory), s (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state), type>

physical_machines = {
  <0, <16, 128>, <33.8, 9.2, <0.0, 0.0>, 0>, 30>, 
  <34, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 88>, 
  <35, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 284>, 
  <36, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 397>, 
  <37, <64, 192>, <56.2, 14.8, <0.0, 0.0>, 0>, 384>, 
  <38, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 350>, 
  <39, <20, 48>, <18.6, 5.4, <0.0, 0.0>, 0>, 164>, 
  <40, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 252>, 
  <41, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 439>, 
  <42, <32, 96>, <30.6, 8.4, <0.0, 0.0>, 0>, 451>, 
  <43, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 249>, 
  <44, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 5>, 
  <45, <64, 64>, <30.6, 8.4, <0.0, 0.0>, 0>, 280>, 
  <46, <56, 96>, <35.400000000000006, 9.600000000000001, <0.0, 0.0>, 0>, 422>, 
  <47, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 19>, 
  <48, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 16>, 
  <49, <36, 128>, <37.800000000000004, 10.200000000000001, <0.0, 0.0>, 0>, 438>, 
  <50, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 238>, 
  <51, <20, 32>, <15.4, 4.6, <0.0, 0.0>, 0>, 339>, 
  <52, <48, 96>, <33.8, 9.2, <0.0, 0.0>, 0>, 452>, 
  <53, <12, 24>, <12.2, 3.8, <0.0, 0.0>, 0>, 267>, 
  <54, <24, 24>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 332>, 
  <55, <64, 64>, <30.6, 8.4, <0.0, 0.0>, 0>, 18>, 
  <56, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 107>, 
  <57, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 15>, 
  <58, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 158>, 
  <59, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 309>, 
  <60, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 188>, 
  <61, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 59>, 
  <62, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 49>, 
  <63, <48, 32>, <21.0, 6.0, <0.0, 0.0>, 0>, 254>, 
  <64, <48, 96>, <33.8, 9.2, <0.0, 0.0>, 0>, 51>, 
  <65, <20, 48>, <18.6, 5.4, <0.0, 0.0>, 0>, 154>, 
  <66, <36, 48>, <21.8, 6.2, <0.0, 0.0>, 0>, 396>, 
  <67, <56, 96>, <35.400000000000006, 9.600000000000001, <0.0, 0.0>, 0>, 210>, 
  <68, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 150>, 
  <69, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 387>, 
  <70, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 145>, 
  <71, <20, 64>, <21.8, 6.2, <0.0, 0.0>, 0>, 349>, 
  <72, <8, 96>, <25.8, 7.2, <0.0, 0.0>, 0>, 445>, 
  <73, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 3>, 
  <74, <64, 96>, <37.0, 10.0, <0.0, 0.0>, 0>, 457>, 
  <75, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 117>, 
  <76, <28, 48>, <20.200000000000003, 5.800000000000001, <0.0, 0.0>, 0>, 204>, 
  <77, <12, 24>, <12.2, 3.8, <0.0, 0.0>, 0>, 267>, 
  <78, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 348>, 
  <79, <64, 64>, <30.6, 8.4, <0.0, 0.0>, 0>, 65>, 
  <80, <24, 60>, <21.8, 6.2, <0.0, 0.0>, 0>, 322>, 
  <81, <12, 24>, <12.2, 3.8, <0.0, 0.0>, 0>, 271>, 
  <82, <20, 24>, <13.8, 4.2, <0.0, 0.0>, 0>, 73>, 
  <83, <24, 16>, <13.0, 4.0, <0.0, 0.0>, 0>, 97>, 
  <84, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 315>, 
  <85, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 352>, 
  <86, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 52>, 
  <87, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 78>, 
  <88, <28, 192>, <49.0, 13.0, <0.0, 0.0>, 0>, 432>, 
  <89, <12, 48>, <17.0, 5.0, <0.0, 0.0>, 0>, 277>, 
  <90, <44, 128>, <39.4, 10.6, <0.0, 0.0>, 0>, 80>, 
  <91, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 330>, 
  <92, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 1>, 
  <93, <44, 64>, <26.6, 7.4, <0.0, 0.0>, 0>, 418>, 
  <94, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 175>, 
  <95, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 20>, 
  <96, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 392>, 
  <97, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 157>, 
  <98, <32, 48>, <21.0, 6.0, <0.0, 0.0>, 0>, 165>, 
  <99, <20, 64>, <21.8, 6.2, <0.0, 0.0>, 0>, 349>, 
  <100, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 370>, 
  <101, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 405>, 
  <102, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 135>, 
  <103, <12, 128>, <33.0, 9.0, <0.0, 0.0>, 0>, 7>, 
  <104, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 370>, 
  <105, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 395>, 
  <106, <48, 96>, <33.8, 9.2, <0.0, 0.0>, 0>, 51>, 
  <107, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 417>, 
  <108, <24, 24>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 332>, 
  <109, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 177>, 
  <110, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 20>, 
  <111, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 162>, 
  <112, <12, 24>, <12.2, 3.8, <0.0, 0.0>, 0>, 267>, 
  <113, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 377>, 
  <114, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 419>, 
  <115, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 36>, 
  <116, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 405>, 
  <117, <48, 96>, <33.8, 9.2, <0.0, 0.0>, 0>, 147>, 
  <118, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 188>, 
  <119, <32, 64>, <24.200000000000003, 6.800000000000001, <0.0, 0.0>, 0>, 179>, 
  <120, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 87>, 
  <121, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 110>, 
  <122, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 177>, 
  <123, <24, 24>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 332>, 
  <124, <72, 512>, <121.80000000000001, 31.200000000000003, <0.0, 0.0>, 0>, 413>, 
  <125, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 486>, 
  <126, <24, 96>, <29.0, 8.0, <0.0, 0.0>, 0>, 444>, 
  <127, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 189>, 
  <128, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 302>, 
  <129, <60, 256>, <68.2, 17.8, <0.0, 0.0>, 0>, 471>, 
  <130, <8, 96>, <25.8, 7.2, <0.0, 0.0>, 0>, 445>, 
  <131, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 489>, 
  <132, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 167>, 
  <133, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 375>, 
  <134, <40, 48>, <22.6, 6.4, <0.0, 0.0>, 0>, 333>, 
  <135, <20, 24>, <13.8, 4.2, <0.0, 0.0>, 0>, 73>, 
  <136, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 415>, 
  <137, <24, 16>, <13.0, 4.0, <0.0, 0.0>, 0>, 13>, 
  <138, <28, 48>, <20.200000000000003, 5.800000000000001, <0.0, 0.0>, 0>, 201>, 
  <139, <44, 64>, <26.6, 7.4, <0.0, 0.0>, 0>, 176>, 
  <140, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 128>, 
  <141, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 486>, 
  <142, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 273>, 
  <143, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 32>, 
  <144, <12, 128>, <33.0, 9.0, <0.0, 0.0>, 0>, 178>, 
  <145, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 251>, 
  <146, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 59>, 
  <147, <44, 128>, <39.4, 10.6, <0.0, 0.0>, 0>, 80>, 
  <148, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 252>, 
  <149, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 395>, 
  <150, <24, 60>, <21.8, 6.2, <0.0, 0.0>, 0>, 322>, 
  <151, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 233>, 
  <152, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 246>, 
  <153, <36, 128>, <37.800000000000004, 10.200000000000001, <0.0, 0.0>, 0>, 438>, 
  <154, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 483>, 
  <155, <32, 64>, <24.200000000000003, 6.800000000000001, <0.0, 0.0>, 0>, 463>, 
  <156, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 428>, 
  <157, <44, 128>, <39.4, 10.6, <0.0, 0.0>, 0>, 80>, 
  <158, <32, 64>, <24.200000000000003, 6.800000000000001, <0.0, 0.0>, 0>, 467>, 
  <159, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 197>, 
  <160, <24, 60>, <21.8, 6.2, <0.0, 0.0>, 0>, 322>, 
  <161, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 374>, 
  <162, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 391>, 
  <163, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 272>, 
  <164, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 378>, 
  <165, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 315>, 
  <166, <24, 64>, <22.6, 6.4, <0.0, 0.0>, 0>, 14>, 
  <167, <64, 64>, <30.6, 8.4, <0.0, 0.0>, 0>, 82>, 
  <168, <24, 24>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 332>, 
  <169, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 173>, 
  <170, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 224>, 
  <171, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 52>, 
  <172, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 374>, 
  <173, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 116>, 
  <174, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 153>, 
  <175, <32, 48>, <21.0, 6.0, <0.0, 0.0>, 0>, 335>, 
  <176, <80, 64>, <33.8, 9.2, <0.0, 0.0>, 0>, 121>, 
  <177, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 428>, 
  <178, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 306>, 
  <179, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 158>, 
  <180, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 296>, 
  <181, <56, 128>, <41.800000000000004, 11.200000000000001, <0.0, 0.0>, 0>, 468>, 
  <182, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 199>, 
  <183, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 116>, 
  <184, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 2>, 
  <185, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 439>, 
  <186, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 431>, 
  <187, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 314>, 
  <188, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 287>, 
  <189, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 291>, 
  <190, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 316>, 
  <191, <64, 512>, <120.2, 30.8, <0.0, 0.0>, 0>, 213>, 
  <192, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 22>, 
  <193, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 273>, 
  <194, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 263>, 
  <195, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 188>, 
  <196, <60, 128>, <42.6, 11.4, <0.0, 0.0>, 0>, 190>, 
  <197, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 36>, 
  <198, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 249>, 
  <199, <32, 64>, <24.200000000000003, 6.800000000000001, <0.0, 0.0>, 0>, 473>, 
  <200, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 246>, 
  <201, <24, 24>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 53>, 
  <202, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 242>, 
  <203, <64, 512>, <120.2, 30.8, <0.0, 0.0>, 0>, 410>, 
  <204, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 141>, 
  <205, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 370>, 
  <206, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 140>, 
  <207, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 124>, 
  <208, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 259>, 
  <209, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 39>, 
  <210, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 75>, 
  <211, <40, 64>, <25.8, 7.2, <0.0, 0.0>, 0>, 290>, 
  <212, <32, 256>, <62.6, 16.4, <0.0, 0.0>, 0>, 118>, 
  <213, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 300>, 
  <214, <8, 96>, <25.8, 7.2, <0.0, 0.0>, 0>, 448>, 
  <215, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 336>, 
  <216, <16, 64>, <21.0, 6.0, <0.0, 0.0>, 0>, 380>, 
  <217, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 236>, 
  <218, <16, 96>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 455>, 
  <219, <20, 48>, <18.6, 5.4, <0.0, 0.0>, 0>, 146>, 
  <220, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 32>, 
  <221, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 117>, 
  <222, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 222>, 
  <223, <28, 48>, <20.200000000000003, 5.800000000000001, <0.0, 0.0>, 0>, 202>, 
  <224, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 142>, 
  <225, <48, 32>, <21.0, 6.0, <0.0, 0.0>, 0>, 48>, 
  <226, <16, 128>, <33.8, 9.2, <0.0, 0.0>, 0>, 30>, 
  <227, <24, 64>, <22.6, 6.4, <0.0, 0.0>, 0>, 14>, 
  <228, <32, 64>, <24.200000000000003, 6.800000000000001, <0.0, 0.0>, 0>, 467>, 
  <229, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 124>, 
  <230, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 193>, 
  <231, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 116>, 
  <232, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 173>, 
  <233, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 167>, 
  <234, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 308>, 
  <235, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 443>, 
  <236, <36, 192>, <50.6, 13.4, <0.0, 0.0>, 0>, 433>, 
  <237, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 303>, 
  <238, <32, 64>, <24.200000000000003, 6.800000000000001, <0.0, 0.0>, 0>, 244>, 
  <239, <80, 512>, <123.4, 31.6, <0.0, 0.0>, 0>, 484>, 
  <240, <20, 32>, <15.4, 4.6, <0.0, 0.0>, 0>, 57>, 
  <241, <16, 64>, <21.0, 6.0, <0.0, 0.0>, 0>, 381>, 
  <242, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 405>, 
  <243, <48, 96>, <33.8, 9.2, <0.0, 0.0>, 0>, 51>, 
  <244, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 75>, 
  <245, <12, 32>, <13.8, 4.2, <0.0, 0.0>, 0>, 305>, 
  <246, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 374>, 
  <247, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 96>, 
  <248, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 134>, 
  <249, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 123>, 
  <250, <16, 64>, <21.0, 6.0, <0.0, 0.0>, 0>, 248>, 
  <251, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 482>, 
  <252, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 429>, 
  <253, <64, 64>, <30.6, 8.4, <0.0, 0.0>, 0>, 353>, 
  <254, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 229>, 
  <255, <12, 32>, <13.8, 4.2, <0.0, 0.0>, 0>, 26>, 
  <256, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 478>, 
  <257, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 340>, 
  <258, <12, 128>, <33.0, 9.0, <0.0, 0.0>, 0>, 28>, 
  <259, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 135>, 
  <260, <72, 64>, <32.2, 8.8, <0.0, 0.0>, 0>, 216>, 
  <261, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 181>, 
  <262, <12, 128>, <33.0, 9.0, <0.0, 0.0>, 0>, 178>, 
  <263, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 52>, 
  <264, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 386>, 
  <265, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 344>, 
  <266, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 230>, 
  <267, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 36>, 
  <268, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 177>, 
  <269, <32, 128>, <37.0, 10.0, <0.0, 0.0>, 0>, 217>, 
  <270, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 429>, 
  <271, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 156>, 
  <272, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 292>, 
  <273, <20, 48>, <18.6, 5.4, <0.0, 0.0>, 0>, 154>, 
  <274, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 300>, 
  <275, <36, 32>, <18.6, 5.4, <0.0, 0.0>, 0>, 476>, 
  <276, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 393>, 
  <277, <64, 96>, <37.0, 10.0, <0.0, 0.0>, 0>, 456>, 
  <278, <24, 16>, <13.0, 4.0, <0.0, 0.0>, 0>, 13>, 
  <279, <32, 384>, <88.2, 22.8, <0.0, 0.0>, 0>, 362>, 
  <280, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 409>, 
  <281, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 475>, 
  <282, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 184>, 
  <283, <64, 96>, <37.0, 10.0, <0.0, 0.0>, 0>, 183>, 
  <284, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 272>, 
  <285, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 85>, 
  <286, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 483>, 
  <287, <32, 384>, <88.2, 22.8, <0.0, 0.0>, 0>, 362>, 
  <288, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 308>, 
  <289, <16, 128>, <33.8, 9.2, <0.0, 0.0>, 0>, 458>, 
  <290, <72, 64>, <32.2, 8.8, <0.0, 0.0>, 0>, 216>, 
  <291, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 145>, 
  <292, <20, 24>, <13.8, 4.2, <0.0, 0.0>, 0>, 83>, 
  <293, <72, 256>, <70.60000000000001, 18.400000000000002, <0.0, 0.0>, 0>, 368>, 
  <294, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 187>, 
  <295, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 425>, 
  <296, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 299>, 
  <297, <64, 512>, <120.2, 30.8, <0.0, 0.0>, 0>, 411>, 
  <298, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 222>, 
  <299, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 268>, 
  <300, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 93>, 
  <301, <20, 768>, <162.60000000000002, 41.400000000000006, <0.0, 0.0>, 0>, 493>, 
  <302, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 401>, 
  <303, <8, 48>, <16.200000000000003, 4.800000000000001, <0.0, 0.0>, 0>, 318>, 
  <304, <12, 128>, <33.0, 9.0, <0.0, 0.0>, 0>, 29>, 
  <305, <64, 192>, <56.2, 14.8, <0.0, 0.0>, 0>, 383>, 
  <306, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 273>, 
  <307, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 281>, 
  <308, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 56>, 
  <309, <64, 96>, <37.0, 10.0, <0.0, 0.0>, 0>, 183>, 
  <310, <64, 64>, <30.6, 8.4, <0.0, 0.0>, 0>, 280>, 
  <311, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 352>, 
  <312, <64, 512>, <120.2, 30.8, <0.0, 0.0>, 0>, 480>, 
  <313, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 221>, 
  <314, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 351>, 
